operator_id,vehicle_id,vehicle_type,status,locked,start_time,end_time,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,0,low_range_vehtype,waiting,False,-60,-1,2980;-1;-1,2980;-1;-1,0.0,1.0,1.0,0.0,,0,,0,,,,
0,1,low_range_vehtype,route,True,180,409.9869602780313,2981;-1;-1,2966;-1;-1,2071.863435442099,0.8575946831862098,0.650408339642,0.0,,0,,0,,,2981;6320;3549;6384;4032;1804;4811;5237;608;459;2416;4011;5246;363;366;2314;2877;1748;2880;906;984;2268;1857;1806;1371;938;5442;4054;2205;1369;2047;1337;1873;1939;665;666;1885;668;1415;1041;1623;1383;2333;2966,2981:180;6320:183.37311885414516;3549:189.01035885414515;6384:189.27219885414516;4032:192.49383885414517;1804:193.40975085414516;4811:195.09239085414515;5237:199.83287085414514;608:208.69895085414515;459:209.02871085414515;2416:211.24235085414514;4011:211.90647885414515;5246:217.83164685414516;363:224.74033485414517;366:226.14541485414517;2314:227.29028685414517;2877:240.46139085414518;1748:241.57991085414517;2880:242.74170285414516;906:254.96701485414516;984:257.73671085414514;2268:258.48457485414514;1857:258.87049485414514;1806:259.53267885414516;1371:260.2028548541452;938:262.78398285414517;5442:272.50463085414515;4054:280.14462285414515;2205:285.89706285414513;1369:292.34322285414515;2047:293.28627885414517;1337:294.24762285414516;1873:310.72503885414517;1939:311.0660308541452;665:311.5881028541452;666:312.45721485414515;1885:313.44303885414513;668:326.81343885414515;1415:327.4425028541452;1041:344.12901713985946;1623:348.5122742827166;1383:359.59770285414515;2333:399.75158856843086;2966:409.9869602780313
0,2,low_range_vehtype,boarding,True,360,390.0,2982;-1;-1,2982;-1;-1,0.0,0.7724415914984484,0.7724415914984484,0.0,,0,3,1,3,,,
0,3,low_range_vehtype,boarding,True,360,390.0,2977;-1;-1,2977;-1;-1,0.0,0.8229470565333281,0.8229470565333281,0.0,,0,4,1,4,,,
0,3,low_range_vehtype,route,False,390,403.47694671413734,2977;-1;-1,2983;-1;-1,112.30788928447757,0.8229470565333281,0.8117162676048804,0.0,,0,4,1,,,2977;6202;7315;2983,2977:390;6202:393.8930921031118;7315:400.78841210311185;2983:403.47694671413734
0,1,low_range_vehtype,boarding,True,409.9869602780313,439.9869602780313,2966;-1;-1,2966;-1;-1,0.0,0.650408339642,0.650408339642,0,,0,1;0,2,1;0,,,
0,3,low_range_vehtype,boarding,True,403.47694671413734,433.47694671413734,2983;-1;-1,2983;-1;-1,0.0,0.8117162676048804,0.8117162676048804,0,,0,4,1,,4,,
0,4,low_range_vehtype,route,False,300,525.0145605330423,2978;-1;-1,2970;-1;-1,1875.1213377753527,0.9458865003910399,0.7583743666135047,0.0,,0,,0,,,2978;4103;4326;7286;4302;5102;7160;7294;2701;3076;4023;7300;3914;5398;5400;4040;4041;5374;5418;5424;5403;6546;1200;7312;4332;799;3653;3825;7127;3766;3988;553;7132;7191;3566;4337;7134;6667;6711;1807;1653;6829;4349;4937;669;5061;7265;3848;534;2839;3560;2970,2978:300;4103:302.6189566950277;4326:307.9101166950277;7286:308.8270366950277;4302:310.2388366950277;5102:321.3473566950277;7160:322.8025966950277;7294:331.5210766950277;2701:337.3231966950277;3076:338.1725566950277;4023:346.0455166950277;7300:347.1876766950277;3914:348.37135669502766;5398:349.5481966950277;5400:350.87479669502767;4040:360.17959669502767;4041:363.1239166950277;5374:367.3764766950277;5418:368.4137566950277;5424:368.5570366950277;5403:369.6623566950277;6546:373.8892366950277;1200:378.4983166950277;7312:379.9920766950277;4332:380.8077166950277;799:381.9886366950277;3653:386.58487669502773;3825:387.83347669502774;7127:431.3935966950277;3766:432.33079669502774;3988:436.0663966950277;553:436.5246766950277;7132:446.4035566950277;7191:454.3607566950277;3566:456.1899166950277;4337:460.6881166950277;7134:461.7881566950277;6667:469.7202766950277;6711:485.57983669502767;1807:487.5070366950277;1653:493.3109566950277;6829:494.0838766950277;4349:494.6327566950277;4937:499.0023166950277;669:509.30971669502765;5061:515.1180766950276;7265:515.9013166950276;3848:516.8759566950276;534:520.9209166950276;2839:522.2795566950276;3560:523.3551166950276;2970:525.0145605330423
0,2,low_range_vehtype,route,False,390.0,548.1393886097674,2982;-1;-1,2980;-1;-1,1274.3900625592087,0.7724415914984484,0.6450025852425275,0.0,,0,3,1,,,2982;2809;4365;7288;1182;1001;6296;1434;3820;3877;2787;4993;6537;7281;2307;3549;6384;4032;1804;4811;5237;608;459;2416;4011;5246;363;366;2314;2877;1748;1743;1157;2058;2092;915;2980,2982:390;2809:395.7009673454251;4365:403.2820873454251;7288:404.4052873454251;1182:405.3222073454251;1001:410.6133673454251;6296:412.97268734542513;1434:418.9317673454251;3820:424.0404073454251;3877:425.94828734542506;2787:434.7408073454251;4993:435.7898473454251;6537:441.5896873454251;7281:447.4248073454251;2307:450.9435673454251;3549:456.5808073454251;6384:456.8426473454251;4032:460.0642873454251;1804:460.9801993454251;4811:462.6628393454251;5237:467.4033193454251;608:476.2693993454251;459:476.5991593454251;2416:478.8127993454251;4011:479.4769273454251;5246:485.4020953454251;363:492.3107833454251;366:493.7158633454251;2314:494.8607353454251;2877:508.0318393454251;1748:509.1503593454251;1743:516.9047593454251;1157:521.6439022025679;2058:527.4337307739964;2092:530.8228736311393;915:535.9410450597106;2980:548.1393886097674
0,2,low_range_vehtype,boarding,True,548.1393886097674,578.1393886097674,2980;-1;-1,2980;-1;-1,0.0,0.6450025852425275,0.6450025852425275,0.0,,0,3,1,,3,,
0,4,low_range_vehtype,boarding,True,525.0145605330423,555.0145605330423,2970;-1;-1,2970;-1;-1,0.0,0.7583743666135047,0.7583743666135047,0.0,,0,2,1,2,,,
